City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mizdah,31.4451,12.9801,53.55,50,7,4.88,LY,1708022629
1,garden city,42.3256,-83.331,39.15,87,100,18.41,US,1708022477
2,dudinka,69.4058,86.1778,-11.33,95,98,14.0,RU,1708022629
3,calipatria,33.1256,-115.5142,63.25,34,100,1.61,US,1708022629
4,longyearbyen,78.2186,15.6401,26.44,93,75,9.22,SJ,1708022630
5,olavarria,-36.8927,-60.3225,83.93,29,0,10.67,AR,1708022630
6,matsuyama,33.8392,132.7657,49.19,55,100,1.99,JP,1708022630
7,fabens,31.5023,-106.1586,63.72,18,92,3.67,US,1708022630
8,reggane,26.7158,0.1714,77.23,10,0,8.25,DZ,1708022630
9,ushuaia,-54.8,-68.3,55.06,44,0,19.57,AR,1708022630
10,waitangi,-43.9535,-176.5597,64.81,94,48,5.99,NZ,1708022630
11,yorkton,51.2167,-102.4677,1.24,71,100,13.8,CA,1708022631
12,tefe,-3.3542,-64.7114,86.11,74,20,4.61,BR,1708022631
13,albany,42.6001,-73.9662,37.45,35,77,5.99,US,1708022405
14,puerto ayora,-0.7393,-90.3518,89.56,89,89,11.01,EC,1708022631
15,nar'yan-mar,67.6713,53.087,-6.9,88,86,8.99,RU,1708022631
16,coquimbo,-29.9533,-71.3436,69.53,77,75,9.22,CL,1708022631
17,grytviken,-54.2811,-36.5092,39.52,69,67,14.9,GS,1708022632
18,cabo san lucas,22.8909,-109.9124,68.76,74,100,4.61,MX,1708022428
19,zaysan,47.4667,84.8667,18.18,96,100,6.42,KZ,1708022632
20,yellowknife,62.456,-114.3525,1.42,91,75,8.05,CA,1708022632
21,iqaluit,63.7506,-68.5145,8.33,78,100,5.75,CA,1708022632
22,khandyga,62.6667,135.6,-52.01,100,96,1.99,RU,1708022632
23,zaragoza,41.6561,-0.8773,63.81,61,75,5.75,ES,1708022632
24,darende,38.5458,37.5058,41.97,84,100,3.27,TR,1708022633
25,santa elena de uairen,4.6167,-61.1333,90.28,25,78,7.94,VE,1708022633
26,puerto natales,-51.7236,-72.4875,57.65,58,100,4.61,CL,1708022633
27,utrik,11.2278,169.8474,78.57,79,53,24.11,MH,1708022633
28,adamstown,-25.066,-130.1015,77.45,77,69,7.65,PN,1708022633
29,anna regina,7.2644,-58.5077,83.84,61,100,9.6,GY,1708022633
30,asuncion nochixtlan,17.4667,-97.2333,72.55,29,98,8.37,MX,1708022633
31,inirida,3.8653,-67.9239,90.52,59,100,1.45,CO,1708022634
32,fortuna,40.5982,-124.1573,53.65,94,100,10.36,US,1708022455
33,ylitornio,66.3089,23.6773,19.33,97,99,3.44,FI,1708022634
34,qamdo,31.1667,97.2333,11.19,55,5,2.17,CN,1708022634
35,cozumel,20.5083,-86.9458,82.47,78,75,9.22,MX,1708022406
36,west island,-12.1568,96.8225,82.38,78,40,8.05,CC,1708022634
37,bin yauri,10.7823,4.8114,87.51,10,11,5.86,NG,1708022634
38,vernon,50.2581,-119.2691,25.16,71,57,3.44,CA,1708022465
39,paracuru,-3.41,-39.0306,85.1,68,41,9.8,BR,1708022635
40,pisco,-13.7,-76.2167,79.02,73,0,13.8,PE,1708022635
41,kitimat,54.0524,-128.6534,33.91,67,0,5.01,CA,1708022635
42,thakhek,17.4103,104.8307,64.8,88,5,4.5,LA,1708022635
43,port-aux-francais,-49.35,70.2167,47.73,94,94,34.29,TF,1708022635
44,vilyuchinsk,52.9306,158.4028,1.92,82,1,7.85,RU,1708022635
45,the pas,53.8251,-101.2541,-9.38,64,0,6.91,CA,1708022636
46,hamilton,39.1834,-84.5333,58.05,55,75,21.85,US,1708022373
47,inhambane,-23.865,35.3833,82.38,83,20,9.22,MZ,1708022636
48,crane,31.3974,-102.3501,67.95,16,85,1.88,US,1708022636
49,vorkuta,67.5,64.0,-25.31,100,100,6.13,RU,1708022636
50,arteaga,18.4667,-102.4167,82.9,29,100,5.23,MX,1708022636
51,ancud,-41.8697,-73.8203,64.71,62,100,8.12,CL,1708022637
52,tralee,52.2704,-9.7026,47.26,94,44,6.69,IE,1708022637
53,udachny,66.4167,112.4,-23.08,100,99,4.29,RU,1708022637
54,kailua-kona,19.6406,-155.9956,78.51,73,20,5.75,US,1708022637
55,severo-yeniseyskiy,60.3725,93.0408,-23.28,100,100,1.79,RU,1708022637
56,micheweni,-4.9667,39.8333,82.87,76,8,11.48,TZ,1708022637
57,sorong,-0.8833,131.25,81.07,79,10,14.52,ID,1708022638
58,coahuayana de hidalgo,18.7,-103.6583,88.3,45,100,4.25,MX,1708022638
59,vylkove,45.4021,29.586,45.88,89,100,14.99,UA,1708022638
60,blackmans bay,-43.0167,147.3167,53.53,85,10,1.01,AU,1708022638
61,suva,-18.1416,178.4415,80.08,89,75,5.75,FJ,1708022638
62,izluchinsk,60.9794,76.9242,-15.99,92,16,11.14,RU,1708022638
63,grass valley,39.2191,-121.0611,48.9,93,100,5.01,US,1708022639
64,thompson,55.7435,-97.8558,-12.84,64,20,6.91,CA,1708022639
65,tiksi,71.6872,128.8694,-29.31,100,100,3.06,RU,1708022639
66,portland,45.5234,-122.6762,48.16,93,75,13.8,US,1708022639
67,vadso,70.0744,29.7487,15.96,79,75,23.02,NO,1708022640
68,queenstown,-31.8976,26.8753,59.25,82,98,7.72,ZA,1708022640
69,invercargill,-46.4,168.35,48.02,93,18,5.01,NZ,1708022640
70,papatowai,-46.5619,169.4708,51.08,77,0,7.9,NZ,1708022640
71,ilulissat,69.2167,-51.1,-2.18,65,40,0.0,GL,1708022414
72,bethel,41.3712,-73.414,38.35,41,0,5.75,US,1708022641
73,rawlins,41.7911,-107.2387,34.36,86,100,17.27,US,1708022642
74,badger,64.8,-147.5333,6.67,78,40,0.0,US,1708022642
75,new norfolk,-42.7826,147.0587,54.72,97,11,2.95,AU,1708022642
76,santo tomas chautla,18.95,-98.15,74.68,24,100,10.4,MX,1708022642
77,yeppoon,-23.1333,150.7333,73.18,85,100,12.8,AU,1708022642
78,porto-novo,6.4965,2.6036,85.82,80,99,9.57,BJ,1708022642
79,laguna,38.421,-121.4238,59.14,80,100,10.36,US,1708022643
80,tomatlan,19.9333,-105.25,82.35,43,100,5.01,MX,1708022643
81,masvingo,-20.0637,30.8277,70.12,44,0,5.61,ZW,1708022643
82,college,64.8569,-147.8028,6.75,78,40,0.0,US,1708022643
83,touros,-5.1989,-35.4608,84.74,65,92,9.42,BR,1708022643
84,krasnokamensk,50.0979,118.0369,-6.02,99,100,4.43,RU,1708022643
85,whitehorse,60.7161,-135.0538,5.77,85,20,10.36,CA,1708022553
86,princeville,45.7668,-61.2985,28.63,86,100,20.71,CA,1708022644
87,colonia,50.9333,6.95,58.82,69,0,10.36,DE,1708022644
88,vilyuysk,63.7553,121.6247,-36.0,100,99,3.0,RU,1708022644
89,hasaki,35.7333,140.8333,57.6,84,100,22.88,JP,1708022644
90,ketchikan,55.3422,-131.6461,36.07,80,0,4.61,US,1708022644
91,wailua homesteads,22.0669,-159.378,67.12,77,100,4.61,US,1708022644
92,nakuru,-0.2833,36.0667,64.81,50,72,0.67,KE,1708022644
93,georgetown,5.4112,100.3354,82.33,72,20,5.01,MY,1708022645
94,murrells inlet,33.551,-79.0414,70.29,70,5,3.0,US,1708022645
95,sao lourenco do sul,-31.3653,-51.9783,78.04,54,100,15.01,BR,1708022645
96,kodiak,57.79,-152.4072,38.71,93,100,17.27,US,1708022645
97,toliara,-23.35,43.6667,80.6,78,79,4.05,MG,1708022645
98,lihue,21.9789,-159.3672,67.73,78,100,4.61,US,1708022646
99,port elizabeth,-33.918,25.5701,66.49,70,0,19.57,ZA,1708022646
100,al ghayzah,16.2079,52.176,75.09,76,38,8.34,YE,1708022646
101,port lincoln,-34.7333,135.8667,61.05,80,5,11.45,AU,1708022646
102,hawaiian paradise park,19.5933,-154.9731,76.87,74,0,6.91,US,1708022646
103,olonkinbyen,70.9221,-8.7187,12.0,66,100,26.28,SJ,1708022646
104,klyuchi,52.2667,79.1667,-15.79,93,100,8.59,RU,1708022646
105,coxen hole,16.3244,-86.5366,85.28,74,75,11.5,HN,1708022447
106,haiku-pauwela,20.9219,-156.3051,72.05,78,75,4.61,US,1708022647
107,nemuro,43.3236,145.575,28.45,96,100,23.09,JP,1708022647
108,kudahuvadhoo,2.6708,72.8944,82.24,81,92,16.84,MV,1708022647
109,stanley,54.868,-1.6985,54.99,89,40,6.91,GB,1708022647
110,bilibino,68.0546,166.4372,-38.65,100,70,2.17,RU,1708022647
111,goure,13.9835,10.2704,71.2,11,0,9.86,NE,1708022647
112,labytnangi,66.6572,66.4183,-18.22,89,4,6.11,RU,1708022648
113,mosjoen,65.836,13.1908,37.51,86,40,3.44,NO,1708022648
114,kerman,30.2832,57.0788,55.26,33,0,4.61,IR,1708022648
115,palikir - national government center,6.9248,158.1611,80.55,74,22,21.41,FM,1708022648
116,tindouf,27.6711,-8.1474,86.45,14,85,4.61,DZ,1708022648
117,altay,47.8667,88.1167,25.38,96,100,7.54,CN,1708022649
118,fale old settlement,-9.3852,-171.2468,80.83,86,100,25.99,TK,1708022649
119,edinburgh of the seven seas,-37.0676,-12.3116,66.9,97,100,22.08,SH,1708022649
120,kingston,17.997,-76.7936,92.16,56,20,9.22,JM,1708022514
121,shenkursk,62.1091,42.896,5.05,83,94,8.99,RU,1708022649
122,shimoda,34.6667,138.95,58.1,68,3,26.4,JP,1708022649
123,ugoofaaru,5.6667,73.0,82.72,75,100,12.53,MV,1708022650
124,durban,-29.8579,31.0292,81.52,87,99,17.36,ZA,1708022650
125,yaren,-0.5472,166.916,82.36,81,94,14.29,NR,1708022650
126,dinghaicun,26.2847,119.7936,50.92,87,100,18.16,CN,1708022650
127,bredasdorp,-34.5322,20.0403,62.04,67,100,14.12,ZA,1708022650
128,cockburn town,21.4612,-71.1419,77.14,72,2,7.2,TC,1708022650
129,newark,40.7357,-74.1724,40.24,42,0,5.75,US,1708022415
130,jatoba,-9.1831,-38.2689,93.0,40,100,6.22,BR,1708022651
131,akureyri,65.6835,-18.0878,24.73,80,75,5.75,IS,1708022651
132,agdas,40.65,47.4761,48.07,62,100,4.81,AZ,1708022652
133,san patricio,28.017,-97.5169,73.49,69,100,9.91,US,1708022652
134,fruitland,38.3221,-75.6202,46.98,50,0,9.22,US,1708022652
135,susuman,62.7833,148.1667,-36.02,99,98,3.0,RU,1708022652
136,namibe,-15.1961,12.1522,76.96,82,100,6.02,AO,1708022652
137,isafjordur,66.0755,-23.124,15.84,73,0,3.44,IS,1708022652
138,hithadhoo,-0.6,73.0833,83.05,78,99,10.49,MV,1708022653
139,kone,-21.0595,164.8658,74.41,89,0,4.47,NC,1708022653
140,murzuq,25.9155,13.9184,56.68,33,0,7.38,LY,1708022653
141,port arthur,38.8,121.2667,25.02,51,0,10.94,CN,1708022653
142,necochea,-38.5473,-58.7368,81.84,41,0,10.38,AR,1708022653
143,sos'va,59.1766,61.8558,-8.95,96,100,3.0,RU,1708022653
144,turabah,21.2141,41.6331,69.24,66,100,14.43,SA,1708022654
145,talgram,27.05,79.65,58.28,40,0,2.19,IN,1708022654
146,san antonio de pale,-1.4014,5.6325,83.95,82,52,10.02,GQ,1708022654
147,funafuti,-8.5243,179.1942,82.4,83,75,20.71,TV,1708022654
148,tucurui,-3.7661,-49.6725,84.2,78,56,3.83,BR,1708022654
149,hadibu,12.65,54.0333,76.44,76,11,10.47,YE,1708022655
150,kalix,65.853,23.1565,28.89,98,100,6.2,SE,1708022655
151,talnakh,69.4865,88.3972,-7.92,92,100,12.3,RU,1708022655
152,madang,-5.2246,145.7966,76.59,93,100,5.48,PG,1708022655
153,iskateley,67.6803,53.1512,-6.99,88,86,8.99,RU,1708022655
154,acapulco de juarez,16.8634,-99.8901,89.42,51,75,3.44,MX,1708022524
155,atafu village,-8.5421,-172.5159,79.32,91,100,15.64,TK,1708022656
156,nuku'alofa,-21.1333,-175.2,79.14,78,20,13.8,TO,1708022656
157,jamestown,42.097,-79.2353,38.01,45,75,16.11,US,1708022568
158,benghazi,32.1167,20.0667,58.86,61,40,20.47,LY,1708022656
159,progreso,21.2833,-89.6667,84.11,64,100,14.76,MX,1708022656
160,sungai raya,0.7,108.9,76.82,94,97,8.86,ID,1708022657
161,envira,-7.3,-70.2167,83.08,86,62,1.61,BR,1708022657
162,i-n-salah,27.1935,2.4607,73.89,12,19,12.86,DZ,1708022657
163,cova figueira,14.8905,-24.2934,70.7,75,100,17.76,CV,1708022657
164,abeche,13.8292,20.8324,75.34,18,0,14.12,TD,1708022658
165,la passe,45.5549,-0.8967,62.83,83,39,12.24,FR,1708022658
166,tura,25.5198,90.2201,61.74,64,0,3.62,IN,1708022658
167,behren-les-forbach,49.1664,6.9434,53.69,76,0,6.91,FR,1708022658
168,lebu,-37.6167,-73.65,65.26,71,16,11.77,CL,1708022658
169,pak phanang,8.3511,100.202,79.45,80,31,8.46,TH,1708022658
170,kristiansund,63.1115,7.732,34.45,75,0,4.61,NO,1708022658
171,iquique,-20.2208,-70.1431,77.04,70,80,10.45,CL,1708022659
172,imbituba,-28.24,-48.6703,75.52,59,100,7.78,BR,1708022659
173,hermanus,-34.4187,19.2345,57.79,73,83,14.25,ZA,1708022659
174,trinidad,-14.8333,-64.9,91.38,62,40,4.61,BO,1708022659
175,barra de santo antonio,-9.4047,-35.5072,88.88,69,100,11.14,BR,1708022659
176,divrigi,39.371,38.1137,41.95,85,100,2.24,TR,1708022659
177,lata,40.1629,-8.3327,55.92,96,100,4.47,PT,1708022660
178,malindi,-3.2175,40.1191,84.36,74,20,11.5,KE,1708022660
179,sabang,5.8933,95.3214,82.85,78,100,16.8,ID,1708022660
180,papao,-17.75,-149.55,85.68,70,100,17.58,PF,1708022660
181,luderitz,-26.6481,15.1594,66.51,70,97,27.74,NA,1708022660
182,port mathurin,-19.6833,63.4167,80.91,86,100,24.87,MU,1708022660
183,rikaze,29.25,88.8833,21.69,46,0,2.8,CN,1708022661
184,les cayes,18.2,-73.75,84.13,60,6,10.85,HT,1708022661
185,ebon,4.582,168.6964,82.13,78,99,20.38,MH,1708022661
186,kapuskasing,49.4169,-82.4331,26.69,74,100,5.75,CA,1708022545
187,enewetak,11.3474,162.3373,80.19,76,70,22.24,MH,1708022661
188,al qadarif,14.0349,35.3834,82.92,9,23,10.27,SD,1708022661
189,nova sintra,14.8667,-24.7167,69.55,79,100,20.65,CV,1708022662
190,uturoa,-16.7333,-151.4333,81.45,73,78,17.9,PF,1708022662
191,yei,4.095,30.6779,80.37,52,83,1.14,SS,1708022662
192,dalandzadgad,43.5708,104.425,29.61,31,8,16.89,MN,1708022662
193,corinto,37.9407,22.9573,47.89,59,96,4.9,GR,1708022662
194,dunedin,-45.8742,170.5036,57.79,70,50,1.01,NZ,1708022662
195,pyin oo lwin,22.0333,96.4667,60.96,43,22,2.55,MM,1708022663
196,margaret river,-33.95,115.0667,64.69,93,84,13.78,AU,1708022663
197,shivpuri,25.4333,77.65,60.46,30,0,4.45,IN,1708022663
198,hobyo,5.3505,48.5268,79.99,83,15,18.12,SO,1708022663
199,st. john's,47.5649,-52.7093,33.28,98,75,29.93,CA,1708022392
200,guiping,23.3925,110.0814,61.45,75,100,3.15,CN,1708022669
201,praia da vitoria,38.7333,-27.0667,66.45,82,75,17.58,PT,1708022669
202,callaway,30.153,-85.5699,64.45,59,20,5.99,US,1708022669
203,minas de marcona,-15.2119,-75.1103,76.73,59,89,16.42,PE,1708022669
204,korla,41.7597,86.1469,32.4,64,85,4.59,CN,1708022375
205,calama,-22.4667,-68.9333,86.49,20,0,25.32,CL,1708022669
206,port douglas,-16.4833,145.4667,79.05,89,100,4.72,AU,1708022670
207,kandana,7.048,79.8937,80.62,83,20,9.22,LK,1708022670
208,pandan,14.0453,124.1694,77.22,85,87,10.8,PH,1708022670
209,mili,6.0815,171.735,81.48,76,99,21.92,MH,1708022670
210,sinop,41.7711,34.8709,44.17,97,100,3.22,TR,1708022670
211,nova vicosa,-17.8919,-39.3719,85.86,66,100,14.27,BR,1708022670
212,buta,2.7858,24.73,79.65,51,15,0.25,CD,1708022670
213,baracoa,20.3467,-74.4958,81.88,63,22,7.31,CU,1708022671
214,colby,39.3958,-101.0524,30.25,74,100,8.05,US,1708022671
215,east ballina,-28.8667,153.5833,72.81,88,43,4.18,AU,1708022671
216,dongola,19.1667,30.4833,65.25,25,5,13.2,SD,1708022671
217,saint-pierre,-21.3393,55.4781,82.08,74,40,14.97,RE,1708022671
218,petropavlovsk-kamchatsky,53.0452,158.6483,0.45,89,0,8.95,RU,1708022671
219,vorgashor,67.5833,63.95,-26.12,100,99,6.24,RU,1708022672
220,okhotsk,59.3833,143.3,-18.18,86,99,8.1,RU,1708022672
221,mana,5.6592,-53.7767,84.36,62,99,11.81,GF,1708022672
222,carnarvon,-24.8667,113.6333,80.38,63,92,21.14,AU,1708022672
223,tahoua,14.8888,5.2692,85.98,12,0,11.5,NE,1708022672
224,awjilah,29.1081,21.2869,59.16,52,75,16.53,LY,1708022672
225,pacocha,-17.5833,-71.3333,77.14,69,0,6.91,PE,1708022673
226,mhamid,29.82,-5.72,76.39,19,0,7.67,MA,1708022673
227,east london,-33.0153,27.9116,68.94,60,0,18.41,ZA,1708022673
228,maintirano,-18.0667,44.0167,80.83,83,100,4.85,MG,1708022673
229,beloyarskiy,63.7119,66.6722,-23.01,100,22,3.0,RU,1708022673
230,panama city beach,30.1766,-85.8055,64.53,55,0,4.61,US,1708022529
231,ghormach,35.7306,63.7826,61.66,21,6,3.98,AF,1708022673
232,labrador city,52.9463,-66.9114,6.71,56,40,8.05,CA,1708022674
233,dogondoutchi,13.6393,4.0287,79.61,13,0,9.69,NE,1708022674
234,al kharj,24.155,47.3346,79.38,39,67,13.06,SA,1708022674
235,chintamani,13.4,78.0667,68.34,78,71,7.11,IN,1708022674
236,ha'il,27.5219,41.6907,62.62,36,0,6.91,SA,1708022674
237,lompoc,34.6391,-120.4579,64.85,66,100,5.75,US,1708022674
238,janeng,-25.4167,25.55,71.24,66,100,4.14,BW,1708022675
239,ribeira grande,38.5167,-28.7,64.8,94,40,21.85,PT,1708022675
240,federal way,47.3223,-122.3126,42.93,84,100,8.05,US,1708022675
241,san-pedro,4.7485,-6.6363,82.45,84,6,12.59,CI,1708022675
242,uige,-7.6087,15.0613,68.95,98,78,1.77,AO,1708022675
243,sortavala,61.7053,30.6918,16.02,94,100,8.99,RU,1708022675
244,champerico,14.3,-91.9167,95.54,57,29,10.16,GT,1708022675
245,belmonte,-15.8631,-38.8828,84.34,71,94,12.28,BR,1708022676
246,peranamallur,12.5667,79.4333,69.76,84,29,4.63,IN,1708022676
247,chania,35.5122,24.0156,51.4,87,75,17.27,GR,1708022397
248,hecun,36.5333,114.1111,37.69,52,0,5.59,CN,1708022676
249,masterton,-40.9597,175.6575,67.1,76,5,1.97,NZ,1708022676
250,zhelezinka,53.54,75.3072,-19.21,98,99,8.97,KZ,1708022676
251,tarakan,3.3,117.6333,78.69,83,17,10.2,ID,1708022676
252,sidi khaled,34.387,4.9879,66.2,33,100,9.75,DZ,1708022677
253,tulagi,-9.0996,160.1476,82.51,81,96,11.1,SB,1708022677
254,mugia,43.1041,-9.2179,57.9,86,5,11.72,ES,1708022677
255,jinghong,21.991,100.7341,64.6,47,100,2.98,CN,1708022677
256,natal,-5.795,-35.2094,84.85,74,75,13.8,BR,1708022638
257,kendari,-3.945,122.4989,79.09,85,100,7.43,ID,1708022678
258,bikenibeu village,1.3673,173.1241,78.76,94,75,11.5,KI,1708022678
259,anadyr,64.75,177.4833,-7.01,83,100,15.66,RU,1708022678
260,ouani,-12.1322,44.4258,82.6,83,100,12.77,KM,1708022678
261,punta arenas,-53.15,-70.9167,57.31,38,0,14.97,CL,1708022418
262,greymouth,-42.4667,171.2,58.68,94,100,6.71,NZ,1708022678
263,razampeta,14.1833,79.1667,67.98,89,31,3.0,IN,1708022678
264,morden,49.1919,-98.1014,10.24,66,87,9.22,CA,1708022679
265,salekhard,66.53,66.6019,-22.81,94,5,4.43,RU,1708022433
266,taishan,22.2514,112.7799,66.52,68,7,7.94,CN,1708022679
267,aasiaat,68.7098,-52.8699,-11.6,81,100,5.35,GL,1708022679
268,shimanovsk,52.0,127.7,-3.55,95,100,7.61,RU,1708022679
269,new glasgow,45.5834,-62.6486,28.18,86,100,19.17,CA,1708022680
270,opuwo,-18.0607,13.84,78.57,34,98,14.92,NA,1708022680
271,levuka,50.1834,-105.4011,-0.67,78,75,10.36,CA,1708022680
272,crucecita,-28.95,-58.9833,87.21,33,0,6.78,AR,1708022680
273,westport,41.1415,-73.3579,40.08,38,0,7.0,US,1708022680
274,nieuw amsterdam,5.8833,-55.0833,89.76,58,40,9.22,SR,1708022680
275,kollo,13.3043,2.339,93.63,12,0,10.2,NE,1708022681
276,saipan,15.1355,145.701,77.7,83,0,17.27,MP,1708022681
277,port alfred,-33.5906,26.891,66.18,81,100,5.99,ZA,1708022681
278,san sebastian de la gomera,28.0916,-17.1133,72.37,78,40,4.61,ES,1708022681
279,dakoutun,39.5833,117.2289,33.39,48,0,7.29,CN,1708022681
280,afaahiti,-17.75,-149.2833,84.07,77,100,18.39,PF,1708022682
281,rongelap,11.1635,166.8941,79.09,79,99,24.02,MH,1708022682
282,fauske,67.2588,15.3918,30.24,80,60,7.74,NO,1708022682
283,corner brook,48.9667,-57.9484,32.16,91,100,16.35,CA,1708022423
